person,contributor_group,homepage,paper,year,paper_url,doi,discovery_source,status,topics
Ayano Hiranaka,Alumni,https://misoshiruseijin.github.io/,Primitive Skill-Based Robot Learning from Human Evaluative Feedback,2023,https://doi.org/10.1109/iros55552.2023.10341912,10.1109/iros55552.2023.10341912,Crossref,candidate_needs_fulltext_verification,
Minjune Hwang,Alumni,https://mj-hwang.github.io/,Primitive Skill-Based Robot Learning from Human Evaluative Feedback,2023,https://doi.org/10.1109/iros55552.2023.10341912,10.1109/iros55552.2023.10341912,Crossref,candidate_needs_fulltext_verification,
Jiankai Sun,Alumni,http://web.stanford.edu/~jksun/,Wearable Intelligence for Healthcare Robotics: From Brain Activity to Body Movements,2026,https://doi.org/10.1609/aaai.v40i48.42168,10.1609/aaai.v40i48.42168,Crossref,candidate_needs_fulltext_verification,
Jerry Tang,Alumni,https://www.linkedin.com/in/jerry-tang-b37026162/,Duawlfin: A Drone With Unified Actuation for Wheeled Locomotion and Flight Operation,2025,https://doi.org/10.1109/lra.2025.3623018,10.1109/lra.2025.3623018,Crossref,candidate_needs_fulltext_verification,
Fei Xia,Alumni,https://fxia22.github.io,Distilling and Retrieving Generalizable Knowledge for Robot Manipulation via Language Corrections,2024,https://doi.org/10.1109/icra57147.2024.10610455,10.1109/icra57147.2024.10610455,Crossref,candidate_needs_fulltext_verification,
Fei Xia,Alumni,https://fxia22.github.io,Bridging Perception and Action: Spatially-Grounded Mid-Level Representations for Robot Generalization,2025,https://doi.org/10.15607/rss.2025.xxi.155,10.15607/rss.2025.xxi.155,Crossref,candidate_needs_fulltext_verification,
Fei Xia,Alumni,https://fxia22.github.io,Chain-of-Modality: Learning Manipulation Programs from Multimodal Human Videos with Vision-Language-Models,2025,https://doi.org/10.1109/icra55743.2025.11128270,10.1109/icra55743.2025.11128270,Crossref,candidate_needs_fulltext_verification,
Fei Xia,Alumni,https://fxia22.github.io,Code as Policies: Language Model Programs for Embodied Control,2023,https://doi.org/10.1109/icra48891.2023.10160591,10.1109/icra48891.2023.10160591,Crossref,candidate_needs_fulltext_verification,
Fei Xia,Alumni,https://fxia22.github.io,GenCHiP: Generating Robot Policy Code for High-Precision and Contact-Rich Manipulation Tasks,2024,https://doi.org/10.1109/iros58592.2024.10801525,10.1109/iros58592.2024.10801525,Crossref,candidate_needs_fulltext_verification,
Fei Xia,Alumni,https://fxia22.github.io,Physically Grounded Vision-Language Models for Robotic Manipulation,2024,https://doi.org/10.1109/icra57147.2024.10610090,10.1109/icra57147.2024.10610090,Crossref,candidate_needs_fulltext_verification,
Chengshu Li,Core Team,http://chengshuli.me,UAD: Unsupervised Affordance Distillation for Generalization in Robotic Manipulation,2025,https://doi.org/10.1109/icra55743.2025.11128868,10.1109/icra55743.2025.11128868,Crossref,candidate_needs_fulltext_verification,
Chengshu Li,Core Team,http://chengshuli.me,Sonicverse: A Multisensory Simulation Platform for Embodied Household Agents that See and Hear,2023,https://doi.org/10.1109/icra48891.2023.10160461,10.1109/icra48891.2023.10160461,Crossref,candidate_needs_fulltext_verification,
Fei Xia,Alumni,https://fxia22.github.io,Sonicverse: A Multisensory Simulation Platform for Embodied Household Agents that See and Hear,2023,https://doi.org/10.1109/icra48891.2023.10160461,10.1109/icra48891.2023.10160461,Crossref,candidate_needs_fulltext_verification,
